relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-700,25,39,0,COC
-700,25,39,1,COC
-700,25,39,2,RIGHT
-700,25,40,0,COC
-700,25,40,1,COC
-700,25,40,2,RIGHT
-700,29.1666666666667,0,0,COC
-700,29.1666666666667,0,1,COC
-700,29.1666666666667,0,2,COC
-700,29.1666666666667,1,0,COC
-700,29.1666666666667,1,1,COC
-700,29.1666666666667,1,2,COC
-700,29.1666666666667,2,0,COC
-700,29.1666666666667,2,1,COC
-700,29.1666666666667,2,2,COC
-700,29.1666666666667,3,0,COC
-700,29.1666666666667,3,1,COC
-700,29.1666666666667,3,2,COC
-700,29.1666666666667,4,0,COC
-700,29.1666666666667,4,1,COC
-700,29.1666666666667,4,2,COC
-700,29.1666666666667,5,0,COC
-700,29.1666666666667,5,1,COC
-700,29.1666666666667,5,2,COC
-700,29.1666666666667,6,0,COC
-700,29.1666666666667,6,1,COC
-700,29.1666666666667,6,2,COC
-700,29.1666666666667,7,0,COC
-700,29.1666666666667,7,1,COC
-700,29.1666666666667,7,2,COC
-700,29.1666666666667,8,0,COC
-700,29.1666666666667,8,1,COC
-700,29.1666666666667,8,2,RIGHT
-700,29.1666666666667,9,0,RIGHT
-700,29.1666666666667,9,1,COC
-700,29.1666666666667,9,2,RIGHT
-700,29.1666666666667,10,0,RIGHT
-700,29.1666666666667,10,1,COC
-700,29.1666666666667,10,2,RIGHT
-700,29.1666666666667,11,0,RIGHT
-700,29.1666666666667,11,1,COC
-700,29.1666666666667,11,2,RIGHT
-700,29.1666666666667,12,0,RIGHT
-700,29.1666666666667,12,1,COC
-700,29.1666666666667,12,2,RIGHT
-700,29.1666666666667,13,0,RIGHT
-700,29.1666666666667,13,1,COC
-700,29.1666666666667,13,2,RIGHT
-700,29.1666666666667,14,0,RIGHT
-700,29.1666666666667,14,1,COC
-700,29.1666666666667,14,2,RIGHT
-700,29.1666666666667,15,0,RIGHT
-700,29.1666666666667,15,1,COC
-700,29.1666666666667,15,2,RIGHT
